Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywordsP@5,R@5,F@5,P@10,R@10,F@10,P@15,R@15,F@15,NDCG,MAP
"['admissible measurement errors', 'fuzzy information', 'informative attributes', 'measurement error', 'fuzzy set theory']","['complex systems', 'current state', 'measurement errors', 'fuzzy information', 'fuzzy set', 'admissible measurement', 'set theory', 'maximally admissible', 'admissible degree', 'informative attributes', 'correctly identify', 'fuzzy', 'states', 'complex', 'basis', 'Identification', 'measurement', 'systems', 'admissible', 'errors', 'considered', 'theory', 'estimation', 'information', 'problem', 'attributes', 'estimates', 'maximally', 'degree', 'obtained', 'make', 'apparatus', 'set', 'correctly', 'identify', 'current']",0.05555555555555555,0.4,0.09756097560975609,5,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3304155027564158,0.09645169645169643
"['linear algebraic equations', 'numerical system']","['m-dimensional lambda', 'linear algebraic', 'algebraic equations', 'special kind', 'system lies', 'numerical system', 'proposed method', 'lambda', 'system', 'linear', 'algebraic', 'equations', 'm-dimensional', 'matrices', 'solution', 'method', 'considered', 'kind', 'proposed', 'searching', 'lies', 'reducing', 'numerical', 'special']",0.041666666666666664,0.5,0.07692307692307693,2,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27117678337354656,0.065
"['building management systems', 'facilities management systems', 'database integration', 'software development technology', 'open control network']","['facilities management', 'Internet Recently', 'management systems', 'Web server', 'Object Model', 'Distributed Component', 'Component Object', 'building management', 'open control', 'control networks', 'Internet protocols', 'Web-based access', 'embedded Web', 'experimental Internet-enabled', 'accessing BMS', 'BMS remotely', 'interconnecting BMS', 'BMS local', 'Internet-enabled system', 'integrating control', 'LRB', 'RRB', 'Internet', 'building facilities', 'technical issues', 'including database', 'software development', 'Integrating building', 'integrated open', 'great interest', 'paper addresses', 'development technology', 'local networks', 'database integration', 'developed utilizing', 'system integrated', 'develop building']",0.02702702702702703,0.2,0.047619047619047616,5,37,0.2,0.2,0.20000000000000004,0.1,0.2,0.13333333333333333,0.06666666666666667,0.2,0.1,0.4119242794109327,0.14756097560975612
"['collective dose calculations', 'facility operations', 'public', 'electronic population data resources', 'personal computer']","['Geographic information', 'collective dose', 'system software', 'data resources', 'develop estimates', 'dose calculations', 'facility operations', 'public based', 'information system', 'personal computer', 'Estimating populations', 'electronic population', 'population data', 'estimate', 'Geographic', 'collective', 'dose', 'population', 'Estimating', 'area', 'software', 'electronic', 'resources', 'sites', 'calculations', 'effects', 'facility', 'operations', 'public', 'based', 'information', 'system', 'data', 'personal', 'computer', 'develop', 'radii']",0.08108108108108109,0.6,0.14285714285714288,5,37,0.2,0.2,0.20000000000000004,0.1,0.2,0.13333333333333333,0.06666666666666667,0.2,0.1,0.4052288649701356,0.1053763440860215
['accelerated simulation'],"['steady-state availability', 'non-Markovian systems', 'Accelerated simulation', 'general accelerated', 'simulation method', 'systems', 'steady-state', 'availability', 'non-Markovian', 'Numerical', 'Accelerated', 'simulation', 'proposed', 'repair', 'general', 'method', 'evaluation', 'applied', 'investigation', 'class']",0.0,0.0,0.0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2242438242175755,0.047619047619047616
"['programming', 'descriptive process', 'intensional concept', 'bipolar function', 'bipole level']","['Descriptological foundations', 'programming Descriptological', 'intensional concept', 'bipole level', 'descriptive process', 'bipolar function', 'complete set', 'concept', 'Descriptological', 'constructed', 'foundations', 'explication', 'introduction', 'abstraction', 'programming', 'operations', 'level', 'refined', 'introduced', 'basis', 'descriptive', 'process', 'elimination', 'processes', 'intensional', 'bipolar', 'function', 'extraction', 'bipole', 'complete', 'set']",0.16129032258064516,1.0,0.27777777777777773,5,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36295841851471544,0.1192633375189156
"['linear constraints', 'set of natural numbers', 'strict inequations', 'nonstrict inequations', 'minimal generating sets']","['linear Diophantine', 'Diophantine equations', 'Upper bounds', 'numbers Criteria', 'minimal set', 'generating sets', 'supporting set', 'considered types', 'mixed types', 'strict inequations', 'linear constraints', 'minimal generating', 'minimal supporting', 'natural numbers', 'systems', 'set', 'solutions', 'types', 'minimal', 'Criteria', 'Compatibility', 'linear', 'inequations', 'considered', 'algorithms', 'Upper', 'Diophantine', 'sets', 'strict', 'constraints', 'natural', 'numbers', 'nonstrict', 'bounds', 'components', 'construction', 'generating']",0.05405405405405406,0.4,0.09523809523809523,5,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33156845192190526,0.09669312169312169
"['recurring issues', 'changing practices']","['weak collections', 'strong collections', 'Twenty years', 'changing practices', 'replace worn', 'replace missing', 'article reviews', 'assess recurring', 'recurring issues', 'identify changing', 'fill gaps', 'strengthen weak', 'develop strong', 'provide materials', 'damaged copies', 'missing copies', 'duplicate copies', 'materials', 'collections', 'literature', 'acquiring', 'copies', 'replace', 'libraries', 'Twenty', 'decades', 'practices', 'acquire', 'programs', 'years', 'article', 'reviews', 'assess', 'recurring', 'issues', 'identify', 'changing']",0.05405405405405406,1.0,0.10256410256410257,2,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24542622464036368,0.04470046082949308
['pseudofuzzy quantities'],"['fuzzy Bayesian', 'pseudofuzzy quantities', 'Bayesian inference', 'Bayesian approach', 'Bayesian decision', 'Bayesian method', 'problems concerned', 'Mathematical fundamentals', 'techniques Problems', 'principal concepts', 'constructing fuzzy', 'fuzzy data', 'main operations', 'basic relationships', 'decision procedure', 'procedure based', 'modus-ponens rule', 'practical realization', 'inference techniques', 'Bayesian', 'fuzzy', 'considered', 'Problems', 'pseudofuzzy', 'quantities', 'Mathematical', 'presented', 'proposed', 'concept', 'fundamentals', 'constructing', 'inference', 'developing', 'approach', 'decision-making', 'case', 'data']",0.02702702702702703,1.0,0.052631578947368425,1,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19195872000656067,0.027777777777777776
"['monograph loans', 'ordering criteria', 'staff perceptions', 'patron comments']","['Purdue University', 'University Libraries', 'Libraries Interlibrary', 'pilot project', 'patron comments', 'Interlibrary Loan', 'staff perceptions', 'Staff analyzed', 'project statistics', 'developed ordering', 'ordering criteria', 'Loan unit', 'loan requests', 'monograph loans', 'purchase patrons', 'resulting patron', 'enthusiastic patron', 'unit proposed', 'analyzed previous', 'previous monograph', 'project', 'pilot', 'statistics', 'Staff', 'Loan', 'comments', 'patrons', 'Amazon', 'Purdue', 'University', 'Libraries', 'Interlibrary', 'Books', 'demand', 'acquisitions', 'lend', 'collection']",0.10810810810810811,1.0,0.1951219512195122,4,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3186634991774145,0.08196910616265454
"['nonlinear extrapolation algorithm', 'scalar random process', 'nonlinear random dependences', 'mixed central moment functions', 'canonical decomposition apparatus', 'moment function']","['extrapolation algorithm', 'Nonlinear extrapolation', 'mixed central', 'scalar random', 'random dependences', 'investigated process', 'random process', 'method makes', 'central moment', 'nonlinear random', 'moment functions', 'extrapolation', 'method', 'Nonlinear', 'algorithm', 'random', 'process', 'Pugachev canonical', 'moment', 'proposed', 'decomposition apparatus', 'realization', 'scalar', 'construction', 'makes', 'account', 'dependences', 'exist', 'investigated', 'mixed', 'central', 'based', 'canonical decomposition', 'Pugachev', 'functions', 'apparatus', 'order']",0.0,0.0,0.0,6,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33790452637213525,0.13953488372093023
"['scalable video transmission', 'channel spectral nulls', 'heavy data rate overhead', 'adaptive vector channel allocation', 'layered bit stream structure', 'lower layers', 'critical layers', 'channel quality', 'channel estimation', 'channel allocation information', 'control channel', 'robustness']","['Precoded OFDM', 'OFDM system', 'ISI channel', 'scalable video', 'channel allocation', 'adaptive vector', 'OFDM framework', 'vector channel', 'video transmission', 'conventional OFDM', 'data rate', 'Simulation results', 'channels Orthogonal', 'Frobenius norm', 'Orthogonal frequency', 'OFDM', 'ISI-free vector', 'allocated vector', 'efficient scalable', 'allocation information', 'rate transmission', 'wireless systems', 'division multiplexing', 'intersymbol interference', 'prefix insertion', 'norm metrics', 'frequency bands', 'high data', 'ISI-free subchannels', 'heavy data', 'rate overhead', 'channel spectral', 'channel estimation', 'control channel', 'fading channels', 'channel quality', 'wireless channels']",0.08108108108108109,0.25,0.12244897959183675,12,37,0.4,0.16666666666666666,0.23529411764705882,0.3,0.25,0.2727272727272727,0.2,0.25,0.22222222222222224,0.619042835174466,0.3067632850241546
"['scholarly editions', 'performance editions', 'technical music vocabulary', 'music publishing industry', 'specialized publishers']","['Non-specialist librarians', 'publishing industry', 'specialized publishers', 'music Non-specialist', 'factors important', 'successful acquisition', 'scholarly editions', 'performance editions', 'music vocabulary', 'printed music', 'technical music', 'music publishing', 'acquisition', 'music', 'Non-specialist', 'editions', 'vocabulary', 'industry', 'specialized', 'vendors', 'printed', 'introduced', 'emphasized', 'librarians', 'alerted', 'factors', 'important', 'successful', 'scholarly', 'performance', 'technical', 'publishing', 'publishers', 'methods', 'familiarity']",0.08571428571428572,0.6,0.15,5,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33506055170371546,0.09928731977413519
"['lower bounds', 'graphs']","['Z-channel Optimization', 'lower bounds', 'error-correcting codes', 'Optimization problems', 'Z-channel', 'lower', 'bounds', 'size', 'error-correcting', 'codes', 'Optimization', 'problems', 'graphs', 'formulated', 'obtain']",0.13333333333333333,1.0,0.23529411764705882,2,15,0.2,0.5,0.28571428571428575,0.1,0.5,0.16666666666666669,0.13333333333333333,1.0,0.23529411764705882,0.5516518144723991,0.19642857142857142
"['firm growth rates', 'flatness', 'correlation', 'constituent businesses']","['growth rates', 'puzzle Recent', 'Recent evidence', 'observed empirically', 'evidence suggests', 'powerlaw nature', 'good representation', 'firm growth', 'power-law relationship', 'relationship exists', 'relationship reflects', 'constituent businesses', 'independent businesses', 'businesses vary', 'large firms', 'small firms', 'growth', 'businesses', 'variance', 'firm', 'rates', 'suggests', 'relationship', 'size', 'model', 'Recent', 'firms', 'scaling', 'rate', 'puzzle', 'puzzling', 'simple', 'partitions', 'integers', 'empirically', 'evidence', 'power-law']",0.02702702702702703,0.25,0.04878048780487805,4,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3031506736289573,0.08461538461538462
"['energy management system', 'standard components', 'application software package', 'security control', 'control center infrastructures', 'liberalized environment', 'energy market']","['control center', 'electric service', 'center infrastructures', 'security control', 'center functions', 'important control', 'load-following control', 'management system', 'software package', 'utility business', 'market rules', 'energy management', 'energy market', 'standard components', 'application software', 'technology trends', 'liberalized environment', 'Control', 'article focuses', 'major functions', 'article ends', 'center', 'security', 'service', 'electric', 'LRB', 'EMS', 'RRB', 'energy', 'market', 'article', 'functions', 'reliability', 'structures', 'rules', 'uncertainties', 'system']",0.10810810810810811,0.5714285714285714,0.18181818181818182,7,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38780521526498624,0.13275910364145657
"['online auctions', 'dynamic pricing', 'lodging industry', 'online intermediaries', 'specialty brokers', 'sales', 'marketing', 'trading model', 'business models', 'price setting mechanism', 'supply chain']","['dynamic pricing', 'trading model', 'Online auctions', 'lodging industry', 'Web site', 'Auction-based models', 'Internet based', 'pioneered Internet', 'Internet usage', 'Web-enabled companies', 'traditional pricing', 'pricing models', 'industry profit', 'fact pricing', 'pricing theory', 'market pricing', 'traditional channels', 'site scripting', 'models impact', 'product distribution', 'highly reliable', 'online intermediaries', 'distribution channels', 'profit margins', 'business models', 'model represents', 'price setting', 'industry leaders', 'sites replace', 'specialty brokers', 'process faster', 'supply chain', 'remains promising', 'based mediums', 'predecessor product', 'medium renders', 'impact business']",0.1891891891891892,0.6363636363636364,0.2916666666666667,11,37,0.2,0.09090909090909091,0.12500000000000003,0.2,0.18181818181818182,0.1904761904761905,0.26666666666666666,0.36363636363636365,0.30769230769230765,0.5263828023957945,0.2320593601081406
"['computer applications', 'interconnected bulk electric systems', 'networked information systems']","['computer applications', 'current key', 'provide perspective', 'exponential rate', 'article discusses', 'key issues', 'interconnected bulk', 'vast networked', 'networked information', 'major developments', 'bulk electric', 'information systems', 'future computer', 'power engineers', 'electric systems', 'electric power', 'power industry', 'future power', 'power', 'applications', 'made', 'future', 'Technology', 'computer', 'difficult', 'article', 'electric', 'industry', 'developments', 'systems', 'Prospective', 'so-called', 'deregulation', 'current', 'suggested', 'rate', 'trends']",0.02702702702702703,0.3333333333333333,0.05,3,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26638775665943837,0.060291060291060294
"['quantum memory', 'ground state spin', 'ensemble', 'two quadrature phase operators', 'squeezed states', 'mapping procedure', '2 ms']","['atomic spin', 'quantum memory', 'long-lived atomic', 'spin state', 'state spin', 'ground state', 'quantum properties', 'light', 'Recording quantum', 'quantum state', 'Gaussian states', 'quadrature phase', 'quantum', 'state', 'squeezed states', 'spin', 'mapping procedure', 'Recording', 'memory', 'experiment', 'mapping', 'phase observables', 'phase operators', 'resonance method', 'results pave', 'fundamental limits', 'magneto-optical resonance', 'properties', 'long-lived', 'atomic', 'report', 'ground', 'ensemble', 'atoms', 'lifetime', 'quadrature', 'phase']",0.10810810810810811,0.5714285714285714,0.18181818181818182,7,37,0.0,0.0,0.0,0.1,0.14285714285714285,0.11764705882352941,0.06666666666666667,0.14285714285714285,0.09090909090909091,0.4293953503609658,0.1373977127082717
"['diagnostic relevance', 'volumetric data', 'rate allocation', 'lifting steps scheme', 'disjoint segments', 'bitstream', 'embedded zerotree coding', 'multidimensional layered zero coding', 'region boundaries', 'filter length', 'decomposition depth', 'head magnetic resonance images']","['object-based coding', 'MRI data', 'MLZC mode', 'Results show', 'coding system', 'lossless coding', 'lossless object-based', 'region boundaries', 'coding process', 'coding strategies', 'zerotree coding', 'wavelet transform', 'inverse transform', 'object-based inverse', 'fully three-dimensional', 'enabling lossless', 'volumetric data', 'based processing', 'system exploiting', 'extra coefficients', 'extra information', 'rate allocation', 'discrete wavelet', 'embedded zerotree', 'decomposition depth', 'resonance images', 'competitive performances', 'LRB', 'RRB', 'diagnostic relevance', 'lifting steps', 'steps scheme', 'process assigns', 'assigns disjoint', 'disjoint segments', 'independently accessed', 'multidimensional layered']",0.16216216216216217,0.5,0.2448979591836735,12,37,0.2,0.08333333333333333,0.11764705882352941,0.2,0.16666666666666666,0.1818181818181818,0.26666666666666666,0.3333333333333333,0.2962962962962963,0.5992714231505989,0.25937615356220006
"['hierarchical mixture model', 'classification', 'data generation process', 'experts classifier', 'posterior probability of class membership']","['hierarchical mixture', 'mixture model', 'LRB', 'RRB', 'experts classifier', 'external cluster', 'generation process', 'training algorithms', 'classification mixture', 'three-level hierarchical', 'proposed hierarchical', 'finite number', 'individual internal', 'internal class-labeled', 'posterior probability', 'class membership', 'membership similar', 'approach based', 'maximum likelihood', 'generation mechanism', 'general training', 'training approach', 'efficient training', 'experimental results', 'experts classification', 'hierarchical model', 'model estimates', 'model exhibits', 'data generation', 'source assumes', 'class-labeled sources', 'improved classification', 'classification performance', 'Mixture', 'model', 'classification', 'hierarchical']",0.05405405405405406,0.4,0.09523809523809523,5,37,0.2,0.2,0.20000000000000004,0.1,0.2,0.13333333333333333,0.06666666666666667,0.2,0.1,0.471855272593356,0.18712121212121213
"['feature points', 'digital images', 'geometrical distortions', 'global transformations', 'rotations', 'translations', 'local transformations', 'periodical properties', 'invariant properties', 'transforms', 'template insertion', 'image content', 'embedding', 'detection scheme', 'content descriptor', 'additive scheme', 'correlation properties', 'geometrical attack']","['geometrical distortions', 'feature points', 'geometrical transformations', 'JPEG compression', 'geometrical attack', 'Results show', 'Delaunay tessellation', 'counter geometrical', 'watermarking schemes', 'presented scheme', 'global transformations', 'detection scheme', 'extracting feature', 'self-synchronizing schemes', 'additive scheme', 'scheme inside', 'salient points', 'invariant properties', 'image content', 'template insertion', 'invariant watermarking', 'classical watermarking', 'periodical properties', 'correlation properties', 'digital images', 'images providing', 'original image', 'Geometrically invariant', 'providing robustness', 'watermarking methods', 'content-based watermarking', 'enhanced detector', 'concluding remarks', 'StirMark attack', 'content descriptor', 'classical additive', 'paper presents']",0.35135135135135137,0.7222222222222222,0.4727272727272727,18,37,0.2,0.05555555555555555,0.08695652173913045,0.1,0.05555555555555555,0.07142857142857142,0.26666666666666666,0.2222222222222222,0.2424242424242424,0.6291567417032963,0.3384155249652326
['enterprise application integration'],"['Justin Opie', 'Portfolio Director', 'Imark Communications', 'numerous organisations', 'business forward', 'latest software', 'staying ahead', 'current climate', 'enterprise application', 'software applications', 'application integration', 'LRB', 'EAI', 'RRB', 'Opie', 'Portfolio', 'Communications', 'systems', 'Justin', 'Director', 'Imark', 'Integration', 'key', 'technology', 'years', 'numerous', 'forward', 'today', 'introduction', 'enterprise', 'past', 'organisations', 'invested', 'latest', 'software', 'drive', 'business']",0.0,0.0,0.0,1,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1892003595168692,0.02631578947368421
"['wavelet transform', 'zerotree quantization', 'codec', 'wavelet decomposition', 'number of error bits', 'absolute zerotree', 'set partitioning in hierarchical trees', 'video coding']","['DSP chip', 'SPIHT algorithm', 'error bits', 'DSP solution', 'Real-time implementation', 'efficient DSP', 'low-memory SPIHT', 'SPIHT image', 'original SPIHT', 'set partitioning', 'hierarchical trees', 'significantly reduced', 'zerotree quantization', 'wavelet decomposition', 'paper deals', 'hardware implementation', 'implementation meets', 'relative issues', 'program structure', 'major drawback', 'experimental results', 'results show', 'meets common', 'real-time video', 'algorithms based', 'wavelet transform', 'high memory', 'absolute zerotree', 'memory cost', 'common requirement', 'memory requirement', 'image coding', 'coding process', 'video coding', 'coding algorithm', 'SPIHT', 'DSP']",0.13513513513513514,0.625,0.22222222222222224,8,37,0.0,0.0,0.0,0.3,0.375,0.33333333333333326,0.2,0.375,0.26086956521739135,0.4970275456020973,0.20833333333333334
"['dynamical transition', 'periodic motions', 'recurrent bus', 'nonstops', 'circular route', 'recurrent time', 'nonlinear map', 'complex periodic behaviors', 'attractor']","['recurrent bus', 'periodic motions', 'nonlinear map', 'bus stops', 'recurrent time', 'Dynamical transition', 'complex periodic', 'dynamical behavior', 'motions occur', 'motions depend', 'periodic behaviors', 'bus induced', 'bus passes', 'bus exhibits', 'circular route', 'varies sensitively', 'attractor varies', 'increasing nonstops', 'recurrent', 'bus', 'periodic', 'Dynamical', 'motions', 'map', 'nonstops', 'LRB', 'RRB', 'stops', 'nonlinear', 'period', 'attractor', 'transition', 'stopping', 'time', 'induced', 'study', 'circular']",0.1891891891891892,0.7777777777777778,0.30434782608695654,9,37,0.0,0.0,0.0,0.1,0.1111111111111111,0.10526315789473685,0.13333333333333333,0.2222222222222222,0.16666666666666669,0.4598039785726707,0.16563827976871456
