Ground_truth Keywords,Extracted Keywords,Method,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywords
"['Angular distributions', 'anti-squarks', 'asymmetry distributions', 'charge asymmetry', 'demonstrate that they are indeed the predicted super-partners', 'lepton-jet invariant mass distributions', 'measure the spins of the new particles', 'Monte Carlo simulations', 'mSUGRA model point', 'particles', 'primary production asymmetry', 'sparticle decays', 'spin-0 slepton', 'squarks', 'super-partners', 'supersymmetry', 'SUSY', 'SUSY particles']","['supersymmetry', 'lhc', 'angular distributions', 'charge asymmetry', 'lepton-jet invariant mass distributions', 'primary production asymmetry', 'monte carlo simulations', 'msugra model point', 'spin-0']",Mistral7B_KeyBERT_one_shot,0.7777777777777778,0.3888888888888889,0.5185185185185185,18,9
"['cryo-FIB milling', 'Cryo-FIB milling', 'electronic or photonic device', 'FIB instruments', 'Ga', 'Ga ion beam', 'gallium', 'Gallium', 'Group III–V materials', 'III–V materials', 'semiconductor', 'semiconductors']",[],Mistral7B_KeyBERT_zero_shot,0.0,0.0,0.0,12,0
"['cryo-FIB milling', 'Cryo-FIB milling', 'electronic or photonic device', 'FIB instruments', 'Ga', 'Ga ion beam', 'gallium', 'Gallium', 'Group III–V materials', 'III–V materials', 'semiconductor', 'semiconductors']",[],Mistral7B_KeyBERT_one_shot,0.0,0.0,0.0,12,0
"['advanced solver design', 'complex geometries', 'computational domain as a collection of several NURBS geometries', 'construction of a suitable preconditioner for the iterative linear solver', 'coupling of the subdomains along interfaces', 'demonstrate the performance of the proposed IETI method', 'exact geometry representation', 'FETI', 'FETI methods', 'Finite Element Tearing and Interconnecting', 'hanging nodes', 'IETI', 'IETI framework', 'IGA', 'interfaces with T-joints', 'isogeometric analysis', 'IsogEometric Tearing and Interconnecting', 'linearized elasticity', 'Non-Uniform Rational B-spline', 'number of independent sub-problems', 'numerical simulation problem', 'NURBS', 'NURBS-based IGA', 'Poisson', 'several subdomains', 'simple model problems', 'solvers for large-scale problems in computational mechanics']",[],Mistral7B_KeyBERT_zero_shot,0.0,0.0,0.0,27,0
"['advanced solver design', 'complex geometries', 'computational domain as a collection of several NURBS geometries', 'construction of a suitable preconditioner for the iterative linear solver', 'coupling of the subdomains along interfaces', 'demonstrate the performance of the proposed IETI method', 'exact geometry representation', 'FETI', 'FETI methods', 'Finite Element Tearing and Interconnecting', 'hanging nodes', 'IETI', 'IETI framework', 'IGA', 'interfaces with T-joints', 'isogeometric analysis', 'IsogEometric Tearing and Interconnecting', 'linearized elasticity', 'Non-Uniform Rational B-spline', 'number of independent sub-problems', 'numerical simulation problem', 'NURBS', 'NURBS-based IGA', 'Poisson', 'several subdomains', 'simple model problems', 'solvers for large-scale problems in computational mechanics']",[''],Mistral7B_KeyBERT_one_shot,0.0,0.0,0.0,27,1
"[""Dirac's magnetic monopole"", ""Einstein's post-Newtonian equations of gravity"", 'electromagnetic field', 'electromagnetism', 'field theory of magnetic monopoles', 'gravitational field', 'gravitipole', 'gravitipoles', 'graviton', 'magnetic monopole', 'magnetic monopoles', ""Maxwell's equations of motion"", 'non-abelian gauge theories', 'photon']",[],Mistral7B_KeyBERT_zero_shot,0.0,0.0,0.0,14,0
"[""Dirac's magnetic monopole"", ""Einstein's post-Newtonian equations of gravity"", 'electromagnetic field', 'electromagnetism', 'field theory of magnetic monopoles', 'gravitational field', 'gravitipole', 'gravitipoles', 'graviton', 'magnetic monopole', 'magnetic monopoles', ""Maxwell's equations of motion"", 'non-abelian gauge theories', 'photon']","['line galloping', 'important galloping data', 'unified management platform', 'department of productive of the state grid corporation', 'inefficient', 'production management system (PMS)', 'powerful', 'easy']",Mistral7B_KeyBERT_one_shot,0.0,0.0,0.0,14,8
"['ARS(2,3,2) scheme', 'atmospheric motion', 'HEVI solution', 'Newton solver', 'one iteration of a Newton solver', 'Rosenbrock solution', 'Runge–Kutta IMEX schemes', 'slowing the vertical advection', 'Strang carryover scheme', 'Strang splitting', 'time-step restriction', 'vertical advection', 'wave propagation']",[],Mistral7B_KeyBERT_zero_shot,0.0,0.0,0.0,13,0
"['ARS(2,3,2) scheme', 'atmospheric motion', 'HEVI solution', 'Newton solver', 'one iteration of a Newton solver', 'Rosenbrock solution', 'Runge–Kutta IMEX schemes', 'slowing the vertical advection', 'Strang carryover scheme', 'Strang splitting', 'time-step restriction', 'vertical advection', 'wave propagation']",['drift'],Mistral7B_KeyBERT_one_shot,0.0,0.0,0.0,13,1
"['acid', 'alkoxylated alkylphenol resins', 'alkylphenol ethoxylates', 'amines', 'amines (when protonated)', 'Anionic sulphates', 'anionic sulphonates', 'blend of polyethylene glycol esters of fatty acids and ethoxylated alkylphenols', 'cation', 'cationic surfactants class', 'CI', 'CIs', 'compounds which improve the dispersability', 'corrosion protection', 'DDPB', 'dispersed emulsion', 'emulsifiers', 'ethoxylated linear alcohols', 'improve the dispersability', 'Long-chain quaternary ammonium bromides', 'metallic material', 'N-dodecylpyridinium bromide', 'nonylphenol ethoxylate', 'NPE', 'NPEs', 'polyoxyethylene sorbitan oleates', 'protonated state', 'quaternary ammonium compounds', 'quaternary ammonium salts', 'quats', 'steel materials', 'surface active agent', 'surface active specie', 'surfactant', 'surfactant or active corrosion inhibitor', 'surfactants']",[],Mistral7B_KeyBERT_zero_shot,0.0,0.0,0.0,36,0
"['acid', 'alkoxylated alkylphenol resins', 'alkylphenol ethoxylates', 'amines', 'amines (when protonated)', 'Anionic sulphates', 'anionic sulphonates', 'blend of polyethylene glycol esters of fatty acids and ethoxylated alkylphenols', 'cation', 'cationic surfactants class', 'CI', 'CIs', 'compounds which improve the dispersability', 'corrosion protection', 'DDPB', 'dispersed emulsion', 'emulsifiers', 'ethoxylated linear alcohols', 'improve the dispersability', 'Long-chain quaternary ammonium bromides', 'metallic material', 'N-dodecylpyridinium bromide', 'nonylphenol ethoxylate', 'NPE', 'NPEs', 'polyoxyethylene sorbitan oleates', 'protonated state', 'quaternary ammonium compounds', 'quaternary ammonium salts', 'quats', 'steel materials', 'surface active agent', 'surface active specie', 'surfactant', 'surfactant or active corrosion inhibitor', 'surfactants']","['non-fragile controller design method', 'system quadratic performance optimization', 'additive controller gain variations', 'necessary and sufficient conditions', 'existence of non-fragile state feedback controller', 'lmi problems', 'flight control simulation results', 'reliability', '']",Mistral7B_KeyBERT_one_shot,0.0,0.0,0.0,36,9
"['calculations using the 1/N expansion', 'complex Grassmannians SU(N)/SU(n)×SU(N−n)×U(1) for N>n>1', 'conservation of the quantum non-local charges', 'corresponding Lie algebra has no non-trivial ideals', 'CPN−1=SU(N)/SU(N−1)×U(1) models for N>2', 'G/H sigma model with H simple', 'integrals of local or non-local functions', 'quantization', 'quantum integrability', 'renormalization', 'simple', 'two-dimensional sigma models on compact symmetric spaces G/H']",[],Mistral7B_KeyBERT_zero_shot,0.0,0.0,0.0,12,0
"['calculations using the 1/N expansion', 'complex Grassmannians SU(N)/SU(n)×SU(N−n)×U(1) for N>n>1', 'conservation of the quantum non-local charges', 'corresponding Lie algebra has no non-trivial ideals', 'CPN−1=SU(N)/SU(N−1)×U(1) models for N>2', 'G/H sigma model with H simple', 'integrals of local or non-local functions', 'quantization', 'quantum integrability', 'renormalization', 'simple', 'two-dimensional sigma models on compact symmetric spaces G/H']","['first-principles calculations', 'electronic structure', 'stability', 'w@si12 cluster', 'o2 molecule adsorption', 'reaction', 'hexagonal prism cage', 'inert to oxidation', 'oxidation', 'spin']",Mistral7B_KeyBERT_one_shot,0.0,0.0,0.0,12,10
"['analysis task', 'bottom up analysis hypergraph model', 'hypergraph model', 'modeling hypergraph', 'pedagogical example', 'reconfigurability analysis', 'structural system modeling', 'system reconfigurability', 'verifying the existence of paths from the affected hyperedge']",[],Mistral7B_KeyBERT_zero_shot,0.0,0.0,0.0,9,0
"['analysis task', 'bottom up analysis hypergraph model', 'hypergraph model', 'modeling hypergraph', 'pedagogical example', 'reconfigurability analysis', 'structural system modeling', 'system reconfigurability', 'verifying the existence of paths from the affected hyperedge']","['alternatively', 'photodetachment', 'intermediate radicals', 'reducing agents', 'pyridinyl radical', 'pyh', 'CO2', 'formaldehyde', 'formic acid']",Mistral7B_KeyBERT_one_shot,0.0,0.0,0.0,9,9
"['accurate and flexible modelling alternative', 'channel height', 'conventional continuum fluid dynamics', 'direct simulation Monte Carlo method', 'DSMC', 'gas flow', 'high-aspect ratio', 'internal-flow applications', 'long channel network', 'molecular collisions', 'multiscale problem', 'Numerical simulation', 'thermodynamic equilibrium']",[],Mistral7B_KeyBERT_zero_shot,0.0,0.0,0.0,13,0
"['accurate and flexible modelling alternative', 'channel height', 'conventional continuum fluid dynamics', 'direct simulation Monte Carlo method', 'DSMC', 'gas flow', 'high-aspect ratio', 'internal-flow applications', 'long channel network', 'molecular collisions', 'multiscale problem', 'Numerical simulation', 'thermodynamic equilibrium']",['thermod'],Mistral7B_KeyBERT_one_shot,0.0,0.0,0.0,13,1
"['charged lepton sectors', 'hierarchical neutrino Yukawa couplings', ""hierarchy-free masses implied by the Δm2's"", 'light neutrino masses', 'MR∼1010–1015', 'quark', 'quark sector', 'rhd neutrino masses', 'see-saw mechanism', 'the angle\xa0θ13', 'Yukawa couplings', 'Yukawa couplings in the quark and charged lepton sectors', 'Δm2 values can be fitted by taking the spectrum of rhd neutrino masses', 'θ12 and θ23 mixing angles']",[],Mistral7B_KeyBERT_zero_shot,0.0,0.0,0.0,14,0
"['charged lepton sectors', 'hierarchical neutrino Yukawa couplings', ""hierarchy-free masses implied by the Δm2's"", 'light neutrino masses', 'MR∼1010–1015', 'quark', 'quark sector', 'rhd neutrino masses', 'see-saw mechanism', 'the angle\xa0θ13', 'Yukawa couplings', 'Yukawa couplings in the quark and charged lepton sectors', 'Δm2 values can be fitted by taking the spectrum of rhd neutrino masses', 'θ12 and θ23 mixing angles']","['analyzing', 'macroscopic', 'dynamic', 'monitoring', 'new', 'add', 'construction', 'land', 'factors', 'selected', 'yinchuan', 'plain', 'experimental', 'zone', 'knowledge', 'base', 'remote', 'sensing', 'images', 'interpret']",Mistral7B_KeyBERT_one_shot,0.0,0.0,0.0,14,20
"['ANSYS', 'cellular beam', 'design method', 'design methods', 'elastic analysis', 'finite element analysis', 'plastic analysis of beam section', 'procedure of design of cellular beam is illustrated']",[],Mistral7B_KeyBERT_zero_shot,0.0,0.0,0.0,8,0
"['ANSYS', 'cellular beam', 'design method', 'design methods', 'elastic analysis', 'finite element analysis', 'plastic analysis of beam section', 'procedure of design of cellular beam is illustrated']",[''],Mistral7B_KeyBERT_one_shot,0.0,0.0,0.0,8,1
"['aero-engine components', 'alloys', 'casting process', 'crack generation and propagation', 'dissolved oxygen', 'elements', 'Gamma titanium aluminides', 'hardened layer', 'interaction hardened layer', 'Investment casting', 'metal surface', 'mould materials', 'Ni-base superalloys', 'nitrogen', 'oxygen', 'produce titanium and titanium aluminide alloy products', 'production of aero-engine components', 'the components', 'TiAl alloy', 'titanium', 'titanium aluminide alloy', 'Titanium aluminides']",[''],Mistral7B_KeyBERT_zero_shot,0.0,0.0,0.0,22,1
"['aero-engine components', 'alloys', 'casting process', 'crack generation and propagation', 'dissolved oxygen', 'elements', 'Gamma titanium aluminides', 'hardened layer', 'interaction hardened layer', 'Investment casting', 'metal surface', 'mould materials', 'Ni-base superalloys', 'nitrogen', 'oxygen', 'produce titanium and titanium aluminide alloy products', 'production of aero-engine components', 'the components', 'TiAl alloy', 'titanium', 'titanium aluminide alloy', 'Titanium aluminides']",[''],Mistral7B_KeyBERT_one_shot,0.0,0.0,0.0,22,1
"['albite', 'alumina', 'aluminium', 'boron', 'CaUTi2O7', 'crystalline', 'glass', 'glass-ceramic wasteforms', 'glass composition', 'glass matrix', 'glass network', 'Hanford K-basin sludges', 'immobilisation of the primary waste stream from production of molybdenum-99', 'investigate the role played by glass composition in controlling crystalline phase stability', 'mineral albite', 'molybdenum-99', 'Na2Al1+xB1–xSi6O16', 'Na2AlBSi6O16', 'Na2O–Al2O3–B2O3–SiO2', 'NaAlSi3O8', 'non-classical glass matrix', 'sodium', 'titanate pyrochlore', 'zirconolite glass-ceramics']",[],Mistral7B_KeyBERT_zero_shot,0.0,0.0,0.0,24,0
"['albite', 'alumina', 'aluminium', 'boron', 'CaUTi2O7', 'crystalline', 'glass', 'glass-ceramic wasteforms', 'glass composition', 'glass matrix', 'glass network', 'Hanford K-basin sludges', 'immobilisation of the primary waste stream from production of molybdenum-99', 'investigate the role played by glass composition in controlling crystalline phase stability', 'mineral albite', 'molybdenum-99', 'Na2Al1+xB1–xSi6O16', 'Na2AlBSi6O16', 'Na2O–Al2O3–B2O3–SiO2', 'NaAlSi3O8', 'non-classical glass matrix', 'sodium', 'titanate pyrochlore', 'zirconolite glass-ceramics']",[],Mistral7B_KeyBERT_one_shot,0.0,0.0,0.0,24,0
"['adding dipole contributions', 'algorithm', 'corrects the current potential', 'GPGPU architectures', 'interaction potential', 'minimize simulation errors', 'parallel computers', 'processors', 'proper inclusion of these interactions', 'recalculation of the interaction potential', 'segments are synchronized after every iteration', 'segment synchronization after every iteration']",[''],Mistral7B_KeyBERT_zero_shot,0.0,0.0,0.0,12,1
"['adding dipole contributions', 'algorithm', 'corrects the current potential', 'GPGPU architectures', 'interaction potential', 'minimize simulation errors', 'parallel computers', 'processors', 'proper inclusion of these interactions', 'recalculation of the interaction potential', 'segments are synchronized after every iteration', 'segment synchronization after every iteration']",[],Mistral7B_KeyBERT_one_shot,0.0,0.0,0.0,12,0
"['3d time-varying datasets', 'algorithms', 'analyzing big data', 'combining window query and time-varying data mining techniques', 'computer-based climate simulations', 'expansion of computer-based climate simulations', 'explore the factors behide climate changes', 'implemented on and integrated into a visual analysis system', 'massive climate data', 'queries', 'several datasets from practical applications', 'tiled-LCD ultra-resolution display', 'time-varying data analysis algorithm', 'visualization and analysis of massive climate data']",[],Mistral7B_KeyBERT_zero_shot,0.0,0.0,0.0,14,0
"['3d time-varying datasets', 'algorithms', 'analyzing big data', 'combining window query and time-varying data mining techniques', 'computer-based climate simulations', 'expansion of computer-based climate simulations', 'explore the factors behide climate changes', 'implemented on and integrated into a visual analysis system', 'massive climate data', 'queries', 'several datasets from practical applications', 'tiled-LCD ultra-resolution display', 'time-varying data analysis algorithm', 'visualization and analysis of massive climate data']","['efficient', 'statistical information', 'complicated objective functions', 'multiple local minima/maxima', 'genetic algorithm (GA)', 'biological evolution processes', 'decision variable domain', 'population', 'crosso']",Mistral7B_KeyBERT_one_shot,0.0,0.0,0.0,14,9
"['complete primitive cell', 'computational and experimental methods', 'empirical force fields', 'Hartree–Fock calculations', 'hydrogen', 'ions', 'isolated molecule and periodic calculations', 'isolated molecule approximation', 'l-cysteine', 'molecular dynamics', 'periodic calculations', 'provide a complete assignment of the vibrational spectra of l-cysteine', 'purine', 'Spectral assignments', 'study of the solid state vibrational spectra', 'tautomers']",[],Mistral7B_KeyBERT_zero_shot,0.0,0.0,0.0,16,0
"['complete primitive cell', 'computational and experimental methods', 'empirical force fields', 'Hartree–Fock calculations', 'hydrogen', 'ions', 'isolated molecule and periodic calculations', 'isolated molecule approximation', 'l-cysteine', 'molecular dynamics', 'periodic calculations', 'provide a complete assignment of the vibrational spectra of l-cysteine', 'purine', 'Spectral assignments', 'study of the solid state vibrational spectra', 'tautomers']","['models', 'accuracy', 'response time', 'natural phenomenon', 'mathematical experimentation', 'micro scale plasmas', 'macro scale atmospheric plasma', 'Schrödinger-Electrostatic algorithm', 'air']",Mistral7B_KeyBERT_one_shot,0.0,0.0,0.0,16,9
"['6 datasets', 'accuracy comparisons', 'algorithm', 'ELM', 'generalization', 'generalization of ELM', 'hidden node', 'hidden nodes', 'novel algorithm', 'novel algorithm is proposed', 'obtain the optimal number of hidden nodes', 'optimization process', 'optimize the hidden node number', 'PSO', 'structural risk minimization principle', 'time consumption', 'trial-and-error']",[],Mistral7B_KeyBERT_zero_shot,0.0,0.0,0.0,17,0
"['6 datasets', 'accuracy comparisons', 'algorithm', 'ELM', 'generalization', 'generalization of ELM', 'hidden node', 'hidden nodes', 'novel algorithm', 'novel algorithm is proposed', 'obtain the optimal number of hidden nodes', 'optimization process', 'optimize the hidden node number', 'PSO', 'structural risk minimization principle', 'time consumption', 'trial-and-error']",['K'],Mistral7B_KeyBERT_one_shot,0.0,0.0,0.0,17,1
"['blood-flow LB solver', 'coalesced communication patterns', 'compile-time polymorphism', 'HemeLB', 'HemeLB application', 'lattice-Boltzmann solvers', 'LB simulations', 'ParMETIS', 'performance prediction model', 'rendering']",[],Mistral7B_KeyBERT_zero_shot,0.0,0.0,0.0,10,0
"['blood-flow LB solver', 'coalesced communication patterns', 'compile-time polymorphism', 'HemeLB', 'HemeLB application', 'lattice-Boltzmann solvers', 'LB simulations', 'ParMETIS', 'performance prediction model', 'rendering']",[],Mistral7B_KeyBERT_one_shot,0.0,0.0,0.0,10,0
"['cation', 'Catlow potential model', 'diffusion mechanism', 'elucidating grain boundary stability', 'grain', 'grain growth', 'migration path', 'Morelon potential model', 'Morl, along with the Grimes shell potential model', 'Morl and the Arima potential models', 'Morl potential', 'oxygen', 'predict the relative stability of the defect energies', 'replicate defect formation energies', 'reproduce the activation energy of oxygen migration', 'rigid ion models', 'shell models', 'UO2']",[],Mistral7B_KeyBERT_zero_shot,0.0,0.0,0.0,18,0
"['cation', 'Catlow potential model', 'diffusion mechanism', 'elucidating grain boundary stability', 'grain', 'grain growth', 'migration path', 'Morelon potential model', 'Morl, along with the Grimes shell potential model', 'Morl and the Arima potential models', 'Morl potential', 'oxygen', 'predict the relative stability of the defect energies', 'replicate defect formation energies', 'reproduce the activation energy of oxygen migration', 'rigid ion models', 'shell models', 'UO2']","['spectrally resolved femtosecond three-pulse photon echo measurements', 'zn(ii)–oep', 'ni(ii)–oep', 'co(ii)–oep', 'increased degree of freedom', 'time delays']",Mistral7B_KeyBERT_one_shot,0.0,0.0,0.0,18,6
"['calculate the system reliability', 'complex GO methodology models', 'Enumeration method', 'GO chart', 'GO methodology', 'GO methodology algorithm', 'minimal path sets', 'minimal path sets are induced', 'new method to get the reliability of system based on GO methodology', 'practical engineering', 'quantitative analysis', 'series structure']",[],Mistral7B_KeyBERT_zero_shot,0.0,0.0,0.0,12,0
"['calculate the system reliability', 'complex GO methodology models', 'Enumeration method', 'GO chart', 'GO methodology', 'GO methodology algorithm', 'minimal path sets', 'minimal path sets are induced', 'new method to get the reliability of system based on GO methodology', 'practical engineering', 'quantitative analysis', 'series structure']","['shear horizontal (sh) ultrasound waves', 'guided waves', 'propagation properties', 'symmetric and anti-symmetric modes', 'phase and group speeds', 'frequency', 'sample thickness']",Mistral7B_KeyBERT_one_shot,0.0,0.0,0.0,12,7
"['bulk shear wave speed', 'bulk waves', 'guided waves', 'oscillation', 'phase and group speed', 'propagation', 'SH0', 'Shear horizontal (SH) ultrasound waves', 'shear wave speed', 'SH ultrasound', 'SH waves', 'wave']","['BFKL', 'DGLAP equations', 'symmetry', 'structure', 'anomalous dimensions', 'supermultiplets', 'twist-2 operators', 'superconformal invariance', 'maxim']",Mistral7B_KeyBERT_zero_shot,0.0,0.0,0.0,12,9
"['bulk shear wave speed', 'bulk waves', 'guided waves', 'oscillation', 'phase and group speed', 'propagation', 'SH0', 'Shear horizontal (SH) ultrasound waves', 'shear wave speed', 'SH ultrasound', 'SH waves', 'wave']","['bfkl', 'bfkl', 'bfkl', 'bfkl', 'bfkl', 'bfkl', 'bfkl', 'bfkl', 'bfkl', 'bfkl', 'bfkl', 'bfkl', 'bfkl', 'bfkl', 'bfkl', '']",Mistral7B_KeyBERT_one_shot,0.0,0.0,0.0,12,16
"['aD⁎(λ)', 'ai⁎(λ', 'aY⁎(λ)', 'bb', 'bb,X⁎', 'bX(λ)', 'database', 'in-situ measurements', 'IOCCG', 'IOCCG (2006) data bank', 'Mie⁎', 'NASA bio-Optical Marine Algorithm Data set', 'NOMAD', 'optical properties', 'optical properties of the bottom [Rib(λ), Bi] and the atmosphere', 'region or season specific information', 'SeaBASS', 'SeaWiFS Bio-Optical Archive and Storage System', 'WASI', 'water constituents']",[],Mistral7B_KeyBERT_zero_shot,0.0,0.0,0.0,20,0
"['aD⁎(λ)', 'ai⁎(λ', 'aY⁎(λ)', 'bb', 'bb,X⁎', 'bX(λ)', 'database', 'in-situ measurements', 'IOCCG', 'IOCCG (2006) data bank', 'Mie⁎', 'NASA bio-Optical Marine Algorithm Data set', 'NOMAD', 'optical properties', 'optical properties of the bottom [Rib(λ), Bi] and the atmosphere', 'region or season specific information', 'SeaBASS', 'SeaWiFS Bio-Optical Archive and Storage System', 'WASI', 'water constituents']","['segment synchronization', 'simulation errors', 'interaction potential', 'minimize', 'communication times', 'remote processors', 'parallel computers', 'gpgpu architectures']",Mistral7B_KeyBERT_one_shot,0.0,0.0,0.0,20,8
