Ground_truth Keywords,Extracted Keywords,Precision,Recall,F1-score,n_gt_keywords,n_extraced_leywordsP@5,R@5,F@5,P@10,R@10,F@10,P@15,R@15,F@15,NDCG,MAP
"['admissible measurement errors', 'fuzzy information', 'informative attributes', 'measurement error', 'fuzzy set theory']","['states', 'complex systems', 'fuzzy information', 'basis', 'admissible measurement errors', 'identification', 'estimation', 'problem', 'informative attributes', 'admissible degree', 'apparatus', 'fuzzy set theory', 'possible']",0.3076923076923077,0.8,0.4444444444444444,5,13,0.4,0.4,0.4000000000000001,0.3,0.6,0.4,0.3076923076923077,0.8,0.4444444444444444,0.5813473794363206,0.3514285714285714
"['linear algebraic equations', 'numerical system']","['systems', 'linear algebraic equations', 'm-dimensional lambda', 'solution', 'method', 'matrices', 'special kind']",0.14285714285714285,0.5,0.22222222222222224,2,7,0.2,0.5,0.28571428571428575,0.14285714285714285,0.5,0.22222222222222224,0.14285714285714285,0.5,0.22222222222222224,0.5802792108518124,0.375
"['building management systems', 'facilities management systems', 'database integration', 'software development technology', 'open control network']","['internet', 'building management system', 'bms', 'control networks', 'intranet', 'fms', 'experimental internet-enabled system', 'database integration', 'embedded web server', 'software development technology', 'dcom', 'distributed component object model', 'infrastructures', 'technical issues', 'web-based access', 'building', 'paper', 'platform', 'strategies', 'great interest']",0.1,0.4,0.16000000000000003,5,20,0.0,0.0,0.0,0.2,0.4,0.26666666666666666,0.13333333333333333,0.4,0.2,0.43003565511402714,0.19543478260869565
"['collective dose calculations', 'facility operations', 'public', 'electronic population data resources', 'personal computer']","['estimate', 'populations', 'collective dose calculations', 'geographic information system software', 'facility operations', 'effects', 'area', 'electronic population data resources', 'public', 'km radii', 'personal computer', 'sites']",0.4166666666666667,1.0,0.5882352941176471,5,12,0.4,0.4,0.4000000000000001,0.4,0.8,0.5333333333333333,0.4166666666666667,1.0,0.5882352941176471,0.6044820543459896,0.4014646464646464
['accelerated simulation'],"['non-markovian systems', 'steady-state availability', 'simulation', 'general', 'repair', 'evaluation', 'class', 'numerical examples', 'investigation']",0.0,0.0,0.0,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28906482631788766,0.1
"['programming', 'descriptive process', 'intensional concept', 'bipolar function', 'bipole level']","['concept', 'introduction', 'abstraction', 'level', 'descriptive process', 'operations', 'explication', 'elimination', 'extraction', 'descriptological foundations', 'bipolar function', 'programming', 'complete set', 'basis']",0.21428571428571427,0.6,0.3157894736842105,5,14,0.2,0.2,0.20000000000000004,0.1,0.2,0.13333333333333333,0.21428571428571427,0.6,0.3157894736842105,0.485231231550862,0.25136363636363634
"['linear constraints', 'set of natural numbers', 'strict inequations', 'nonstrict inequations', 'minimal generating sets']","['systems', 'set', 'solutions', 'types', 'algorithms', 'natural numbers criteria', 'compatibility', 'strict inequations', 'construction', 'linear diophantine equations', 'components', 'upper bounds', 'linear constraints']",0.15384615384615385,0.4,0.2222222222222222,5,13,0.0,0.0,0.0,0.1,0.2,0.13333333333333333,0.15384615384615385,0.4,0.2222222222222222,0.4506499582249476,0.24326923076923077
"['recurring issues', 'changing practices']","['out-of-print materials', 'literature', 'collections', 'copies', 'libraries', 'new courses', 'uniform', 'assertion', 'gaps', 'practices', 'recurring issues', 'article', 'years']",0.07692307692307693,0.5,0.13333333333333336,2,13,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.5,0.13333333333333336,0.32797302844564774,0.11688311688311688
['pseudofuzzy quantities'],"['fuzzy data', 'pseudofuzzy quantities', 'concept', 'fuzzy bayesian inference techniques problems', 'decision-making', 'case', 'bayesian approach', 'main operations', 'bayesian decision procedure', 'basic relationships', 'technique', 'practical realization', 'problems concerned', 'modus-ponens rule', 'mathematical fundamentals']",0.06666666666666667,1.0,0.125,1,15,0.2,1.0,0.33333333333333337,0.1,1.0,0.18181818181818182,0.06666666666666667,1.0,0.125,0.6309297535714573,0.5
"['monograph loans', 'ordering criteria', 'staff perceptions', 'patron comments']","['patrons', 'staff', 'pilot project', 'statistics', 'loan requests', 'previous monograph loans', 'amazon', 'collection', 'com', 'ordering criteria', 'demand', 'result', 'proposal', 'titles', 'months', 'just-in-time acquisitions', 'review', 'books', 'program']",0.05263157894736842,0.25,0.08695652173913043,4,19,0.0,0.0,0.0,0.1,0.25,0.14285714285714288,0.06666666666666667,0.25,0.10526315789473685,0.37556263986255356,0.16136363636363635
"['nonlinear extrapolation algorithm', 'scalar random process', 'nonlinear random dependences', 'mixed central moment functions', 'canonical decomposition apparatus', 'moment function']","['nonlinear extrapolation algorithm', 'method', 'mixed central moment functions', 'account', 'nonlinear random dependences', 'possible', 'problem', 'realization', 'construction', 'example', 'process']",0.2727272727272727,0.5,0.3529411764705882,6,11,0.6,0.5,0.5454545454545454,0.3,0.5,0.37499999999999994,0.2727272727272727,0.5,0.3529411764705882,0.8096728304037911,0.5920634920634921
"['scalable video transmission', 'channel spectral nulls', 'heavy data rate overhead', 'adaptive vector channel allocation', 'layered bit stream structure', 'lower layers', 'critical layers', 'channel quality', 'channel estimation', 'channel allocation information', 'control channel', 'robustness']","['ofdm', 'adaptive vector channel allocation', 'channel quality', 'isi', 'scalable video transmission', 'important layers', 'conversion', 'high data rate transmission', 'isi-free subchannels', 'advantages', 'severe intersymbol interference', 'wireless systems', 'stronger protection', 'layered bit stream structure', 'errors', 'higher transmission quality', 'simulation results', 'multiple frequency bands', 'broadband wireline', 'receiver', 'frobenius norm metrics', 'application', 'fading inherent', 'paper', 'robustness', 'transmitter', 'scheme', 'new ofdm framework', 'problems', 'cyclic prefix insertion', 'channel spectral nulls']",0.1935483870967742,0.5,0.27906976744186046,12,31,0.6,0.25,0.35294117647058826,0.3,0.25,0.2727272727272727,0.26666666666666666,0.3333333333333333,0.2962962962962963,0.6582278702826683,0.3659896071186393
"['scholarly editions', 'performance editions', 'technical music vocabulary', 'music publishing industry', 'specialized publishers']","['acquisition', 'out-of-print music non-specialist librarians', 'scholarly editions', 'specialized publishers', 'out-of-print', 'methods', 'vendors', 'music publishing industry', 'appropriate technical music vocabulary', 'need', 'factors important', 'familiarity']",0.25,0.6,0.35294117647058826,5,12,0.4,0.4,0.4000000000000001,0.3,0.6,0.4,0.25,0.6,0.35294117647058826,0.5985326313009391,0.3845238095238095
"['lower bounds', 'graphs']","['error-correcting codes', 'size', 'z-channel optimization problems', 'new lower bounds', 'graphs']",0.2,0.5,0.28571428571428575,2,5,0.2,0.5,0.28571428571428575,0.2,0.5,0.28571428571428575,0.2,0.5,0.28571428571428575,0.45560514958746057,0.26666666666666666
"['firm growth rates', 'flatness', 'correlation', 'constituent businesses']","['firm', 'firm growth rates', 'constituent businesses', 'size', 'model', 'power-law relationship', 'variance', 'correlation', 'form', 'partitions', 'integers', 'presence', 'simple', 'flatness', 'powerlaw nature', 'fact', 'stable', 'recent evidence', 'relation', 'scaling', 'good representation']",0.19047619047619047,1.0,0.32,4,21,0.4,0.5,0.4444444444444445,0.3,0.75,0.4285714285714285,0.26666666666666666,1.0,0.4210526315789474,0.664564514628281,0.4568452380952381
"['energy management system', 'standard components', 'application software package', 'security control', 'control center infrastructures', 'liberalized environment', 'energy market']","['control centers', 'security', 'electric service', 'market rules', 'article', 'ems', 'energy management system', 'quality', 'reliability', 'new technology trends', 'different structures', 'utility business', 'design', 'continuity', 'standard components', 'uncertainties', 'major functions', 'application software package', 'place', 'example', 'end-product', 'changes', 'environment', 'concern']",0.125,0.42857142857142855,0.19354838709677416,7,24,0.0,0.0,0.0,0.1,0.14285714285714285,0.11764705882352941,0.13333333333333333,0.2857142857142857,0.18181818181818182,0.4551016526644185,0.20612244897959184
"['online auctions', 'dynamic pricing', 'lodging industry', 'online intermediaries', 'specialty brokers', 'sales', 'marketing', 'trading model', 'business models', 'price setting mechanism', 'supply chain']","['dynamic pricing', 'traditional trading model', 'production', 'online auctions', 'medium', 'profit', 'distribution', 'businesses', 'internet usage', 'customer', 'transaction', 'industry', 'web site scripting', 'web-enabled companies', 'popular', 'secure', 'supplier-centric', 'price setting mechanism', 'marketing alternative', 'information results', 'reliable', 'margin', 'prevalent', 'long run impact', 'costly', 'services', 'share', 'process', 'flow', 'traditional channels', 'market-centric', 'predecessor product distribution channels', 'specialty brokers', 'cost', 'producer', 'supply chain', 'flexible system', 'sales', 'consumer', 'increase', 'overnight accommodation', 'skeptical', 'fact pricing theory', 'future', 'promising', 'controversial']",0.13043478260869565,0.5454545454545454,0.21052631578947367,11,46,0.4,0.18181818181818182,0.25000000000000006,0.2,0.18181818181818182,0.1904761904761905,0.13333333333333333,0.18181818181818182,0.15384615384615383,0.6490120983790942,0.2875539805598911
"['computer applications', 'interconnected bulk electric systems', 'networked information systems']","['power', 'computer applications', 'article', 'major developments', 'prospective', 'future', 'industry changes', 'difficult', 'current key issues', 'so-called', 'deregulation', 'restructuring', 'vast networked information systems', 'interconnected bulk electric systems', 'pace', 'exponential rate', 'perspective', 'skills', 'trends']",0.10526315789473684,0.6666666666666666,0.18181818181818182,3,19,0.2,0.3333333333333333,0.25,0.1,0.3333333333333333,0.15384615384615383,0.13333333333333333,0.6666666666666666,0.2222222222222222,0.5230383710257065,0.2642857142857143
"['quantum memory', 'ground state spin', 'ensemble', 'two quadrature phase operators', 'squeezed states', 'mapping procedure', '2 ms']","['light', 'quantum state', 'quantum properties', 'quadrature phase operators', 'sensitivity', 'long-lived atomic spin state', 'experiment', 'road', 'cs atoms', 'photon', 'mapping procedure', 'complete', 'vacuum', 'fundamental limits', 'ensemble', 'sec', 'level', 'results', 'lifetime', 'recording', 'magneto-optical resonance method']",0.09523809523809523,0.2857142857142857,0.14285714285714285,7,21,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.2857142857142857,0.18181818181818182,0.44159053788178165,0.22434232434232432
"['diagnostic relevance', 'volumetric data', 'rate allocation', 'lifting steps scheme', 'disjoint segments', 'bitstream', 'embedded zerotree coding', 'multidimensional layered zero coding', 'region boundaries', 'filter length', 'decomposition depth', 'head magnetic resonance images']","['different regions', 'lossless coding', 'mlzc', 'object-based coding', '3-d mri data', 'ezw-3d', 'bitstream', 'process', 'results', '3-d', 'system', 'different objects', 'interest', 'head magnetic resonance images', 'multidimensional layered', 'roi', 'artifacts', 'respect', 'competitive performances', 'order', 'overheading', 'disjoint segments', 'case', 'rise', 'rate allocation', 'diagnostic relevance', 'set', 'extra coefficients', 'three-dimensional', 'decomposition depth', 'particular', 'integer-to-integer values', '3-d discrete wavelet transform', 'available', 'implementation', 'steps scheme', 'volume', 'definition', 'filter length', 'up-to-lossless quality', 'datasets', 'literature', 'lossy']",0.16279069767441862,0.5833333333333334,0.2545454545454546,12,43,0.0,0.0,0.0,0.1,0.08333333333333333,0.0909090909090909,0.13333333333333333,0.16666666666666666,0.14814814814814814,0.4955054454773002,0.20032273282273283
"['hierarchical mixture model', 'classification', 'data generation process', 'experts classifier', 'posterior probability of class membership']","['hierarchical mixture model', 'experts classification', 'sources', 'clusters', 'mixture', 'data generation process', 'individual internal class-labeled sources', 'class membership similar', 'experts classifier', 'posterior probability', 'subclusters', 'existence', 'finite number', 'order', 'parameters', 'generation mechanism', 'general training approach', 'maximum likelihood', 'efficient training algorithms', 'experimental results']",0.15,0.6,0.24,5,20,0.2,0.2,0.20000000000000004,0.3,0.6,0.4,0.2,0.6,0.3,0.7130998435705588,0.4242424242424242
"['feature points', 'digital images', 'geometrical distortions', 'global transformations', 'rotations', 'translations', 'local transformations', 'periodical properties', 'invariant properties', 'transforms', 'template insertion', 'image content', 'embedding', 'detection scheme', 'content descriptor', 'additive scheme', 'correlation properties', 'geometrical attack']","['self-synchronizing schemes', 'feature points', 'geometrical distortions', 'digital images', 'invariant watermarking', 'transforms', 'mark', 'periodical properties', 'robustness', 'different types', 'embedding', 'delaunay tessellation', 'triangle', 'classes', 'template insertion', 'set', 'results', 'jpeg compression', 'new approach', 'weaknesses', 'detection', 'information', 'fact', 'performance', 'paper', 'translations', 'overview', 'rotations', 'signature', 'detector', 'stirmark attack', 'content descriptor', 'remarks']",0.30303030303030304,0.5555555555555556,0.3921568627450981,18,33,0.6,0.16666666666666666,0.2608695652173913,0.5,0.2777777777777778,0.35714285714285715,0.4666666666666667,0.3888888888888889,0.42424242424242425,0.7440439874333904,0.48190391925148024
['enterprise application integration'],"['integration', 'key', 'systems', 'eai', 'today', 'portfolio director', 'introduction', 'justin opie', 'competition', 'current climate', 'technology', 'imark communications', 'redundant', 'latest software applications', 'numerous organisations', 'business forward']",0.0,0.0,0.0,1,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23981246656813138,0.058823529411764705
"['wavelet transform', 'zerotree quantization', 'codec', 'wavelet decomposition', 'number of error bits', 'absolute zerotree', 'set partitioning in hierarchical trees', 'video coding']","['algorithms', 'real-time implementation', 'zerotree quantization', 'error bits', 'wavelet transform', 'efficiency', 'paper', 'dsp chip', 'new concepts-number', 'hierarchical trees', 'pearlman', 'well-known', 'said', 'simplicity', '-lrb-', 'partitioning', 'high memory requirement', 'performance', 'number', 'codec', 'major drawback', 'common requirement', 'program structure', 'order', 'process', 'optimization', 'relative issues', 'experimental results', 'real-time video coding', 'memory cost', 'practical']",0.0967741935483871,0.375,0.15384615384615383,8,31,0.4,0.25,0.3076923076923077,0.2,0.25,0.22222222222222224,0.13333333333333333,0.25,0.1739130434782609,0.5285664480708387,0.24930555555555556
"['dynamical transition', 'periodic motions', 'recurrent bus', 'nonstops', 'circular route', 'recurrent time', 'nonlinear map', 'complex periodic behaviors', 'attractor']","['periodic motions', 'recurrent bus', 'dynamical transition', 'nonstops', 'nonlinear map', 'attractor', 'property', 'terms', 'recurrent time', 'circular route', 'number']",0.7272727272727273,0.8888888888888888,0.7999999999999999,9,11,1.0,0.5555555555555556,0.7142857142857143,0.8,0.8888888888888888,0.8421052631578948,0.7272727272727273,0.8888888888888888,0.7999999999999999,0.9789645446418468,0.9253086419753087
"['performance criterion', 'integrated absolute error', 'step load disturbance', 'integrating processes', 'equal robustness', 'complementary sensitivity function']","['dead-time compensating controllers', 'performance comparison', 'sensitivity function', 'equal robustness', 'absolute error', 'pid controllers', 'dtc', 'pid', 'norm', 'sub infinity', 'fair comparison', 'sum', 'measure', 'stable', 'plant input', 'sense', 'processes', 'step load disturbance', 'iae', 'paper', 'dead-time margin', 'question']",0.09090909090909091,0.3333333333333333,0.14285714285714288,6,22,0.2,0.16666666666666666,0.1818181818181818,0.1,0.16666666666666666,0.125,0.06666666666666667,0.16666666666666666,0.09523809523809522,0.4607375973526124,0.21403133903133906
"['local features', 'edge detection', 'texture segmentation', 'neighborhood operation', 'overlapping windows', 'matrix formulation', 'accumulation moments']","['local moments', 'convolution', 'efficient computation', 'local features', 'set', 'independent', 'uncorrelated noise', 'masks', 'effect', 'concept', 'fact', 'account', 'image', 'windows', 'texture segmentation', 'matrix formulation', 'paper', 'edge detection', 'attention', 'use', 'local geometric moments local moments', 'algorithm', 'main reason', 'neighborhood operation', 'efficient', 'simple']",0.19230769230769232,0.7142857142857143,0.30303030303030304,7,26,0.2,0.14285714285714285,0.16666666666666666,0.1,0.14285714285714285,0.11764705882352941,0.13333333333333333,0.2857142857142857,0.18181818181818182,0.49201096761683494,0.21448412698412697
"['robust stabilization', 'nonlinear uncertainties', 'uncertain dynamical systems', 'state feedback']","['linear systems', 'uncertainties', 'unknown bounds', 'disturbance', 'class', 'stable', 'scheme', 'adaptive state feedback control', 'problem', 'adaptive robust stabilization', 'theory', 'unknown', 'simulations', 'effective', 'practical engineering', 'arbitrary']",0.0,0.0,0.0,4,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36472030754467144,0.2
"['image sources', 'watermarking', 'capacity limits', 'statistical model', 'distortion constraints', 'wavelet statistical models', 'geometric attacks', 'distortion measures']","['image sources', 'information-theoretic model', 'data-hiding capacity', 'attacker', 'data hiding', 'distortion constraints', 'host-image sources', 'block-dct', 'compressed', 'autoregressive', 'closed-form expressions', 'data-hiding systems', 'sparse-model approximations', 'previous theoretical results', 'paper', 'decoder', 'information available', 'invariant', 'framework']",0.10526315789473684,0.25,0.14814814814814814,8,19,0.2,0.125,0.15384615384615385,0.2,0.25,0.22222222222222224,0.13333333333333333,0.25,0.1739130434782609,0.6767164857952125,0.4066666666666667
"['subspace identification approach', 'principal component analysis', 'system observability subspace', 'subspace model identification']","['new subspace identification approach', 'complex industrial processes', 'pca', 'eiv', 'system order', 'moesp algorithm', 'consistent model estimates', 'multiple variables', 'matrices', 'paper', 'principal component analysis', 'errors-in-variables', 'comparison', 'situation', 'sensor faults', 'system observability subspace', 'output', 'smi', 'category', 'objective', 'benchmarks', 'advantages', 'errors']",0.08695652173913043,0.5,0.14814814814814817,4,23,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.25,0.10526315789473685,0.37151603508828285,0.13397727272727272
"['highway traffic', 'tollbooths', 'toll collection', 'waiting time', 'reduced speed', 'saturated flow', 'lane expansion', 'vehicle queuing', 'numerical simulations']","['tollbooths', 'time', 'highway traffic', 'effects', 'variance', 'traffic flow', 'influence', 'analytical expressions', 'numerical results', 'lane expansion', 'differences', 'fundamental diagram', 'long', 'vehicle queuing', 'emergence', 'first-order phase transition', 'plateau region', 'phase separation', 'speed', 'short-distance travelers', 'nagel-schreckenberg model', 'toll collection']",0.22727272727272727,0.5555555555555556,0.3225806451612903,9,22,0.4,0.2222222222222222,0.2857142857142857,0.3,0.3333333333333333,0.3157894736842105,0.26666666666666666,0.4444444444444444,0.33333333333333337,0.7339499708788019,0.42936322936322935
"['incorrect banking data', 'statistical mechanism apparatus']","['bagsik oscillator', 'statistical mechanism apparatus', 'processes', 'piotrowski', 'application', 'sladkowski', 'complex numbers', 'analysis', 'deterministic', 'incorrect banking data']",0.2,1.0,0.33333333333333337,2,10,0.2,0.5,0.28571428571428575,0.2,1.0,0.33333333333333337,0.2,1.0,0.33333333333333337,0.5640920940185892,0.35
"['scale consistency', 'space consistency', 'edge preservation', 'image multiresolution decomposition', 'redundant wavelet transform', 'image edges', 'gradient magnitudes', 'shrinkage function', 'geometric constraints']","['edge preservation', 'adaptive image denoising', 'space consistency', 'scale', 'shrinkage function', 'wavelet domain', 'joint use', 'new method', 'paper', 'better preservation', 'approach', 'possible applications', 'redundant wavelet transform', 'image multiresolution decomposition', 'located', 'model', 'homogeneous regions', 'version', 'resolution level', 'gradient magnitudes', 'technique', 'geometric constraints']",0.3181818181818182,0.7777777777777778,0.45161290322580644,9,22,0.6,0.3333333333333333,0.42857142857142855,0.3,0.3333333333333333,0.3157894736842105,0.3333333333333333,0.5555555555555556,0.4166666666666667,0.7727446603028107,0.4777426277426277
"['resonant grounding systems', 'compensation coil tuning', 'fault detection']","['distribution systems', 'authors', 'resfal', 'regard', 'compensation coil tuning', 'behavior', 'software tool', 'verifying resonant grounding', 'detection']",0.1111111111111111,0.3333333333333333,0.16666666666666666,3,9,0.2,0.3333333333333333,0.25,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.44809575613799757,0.24848484848484848
"['cellular automata model', 'population', 'biological ageing', 'restraining effect', 'lattice', 'wolves', 'sheep', 'predation']","['cellular automata model', 'populations', 'restraining effect', 'movable wolves', 'verhulst factor', 'predation', 'lattice', 'sheep', 'quantity', 'strong', 'danuta makowiec', 'biological ageing', 'development', 'single-species asexual bit-string model', 'dimensions', 'place', 'neighbours', 'accordance', 'penna', 'law', 'results']",0.2857142857142857,0.75,0.4137931034482759,8,21,0.4,0.25,0.3076923076923077,0.5,0.625,0.5555555555555556,0.4,0.75,0.5217391304347827,0.8130622040496056,0.5698434265010353
"['edge detection', 'geometrical characteristics', 'probability factor', 'double thresholding technique', 'spatial domain filtering', 'pixel similarity', 'gradient amplitudes', 'gradient phases', 'edge connectivity', 'dynamic range compression', 'wavelet correlation', 'probabilistic formulation', 'final edge probability image', 'adaptive filters', 'approximation images', 'matched filters', 'image noise', 'noise suppression']","['edge detection', 'image', 'spatial', 'scale-space domains', 'wavelet correlation', 'pixel', 'scales', 'adaptive filters', 'geometrical characteristics', 'probability factor', 'gradient amplitudes', 'scale-space techniques', 'final edge probability image', 'dynamic range compression', 'wider range', 'significant reduction', 'noise suppression algorithms', 'generation', 'computer', 'natural', 'probabilistic formulation', 'priori knowledge', 'chance', 'advantages', 'double thresholding technique', 'results', 'adaptive wavelet noise-filtering algorithm']",0.37037037037037035,0.5555555555555556,0.4444444444444445,18,27,0.4,0.1111111111111111,0.1739130434782609,0.5,0.2777777777777778,0.35714285714285715,0.5333333333333333,0.4444444444444444,0.4848484848484848,0.778219059463783,0.5176470134803468
"['parameter derivation process', 'parameter matching', 'power system simulation', 'control simulation']","['generating plant', 'deriving model parameters', 'parameter matching', 'versed', 'engineers', 'purpose', 'field test measurements', 'generator control simulation', 'deriveassist', 'power system simulation', 'identification', 'major component', 'process']",0.15384615384615385,0.5,0.23529411764705882,4,13,0.2,0.25,0.22222222222222224,0.2,0.5,0.28571428571428575,0.15384615384615385,0.5,0.23529411764705882,0.5055510853641468,0.26666666666666666
